"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"I-SMAD Binding (GO:0070411)","10/13",0.000405570330175389,0.263348492155023,0,0,8.39199812272674,65.5433201820912,"SMAD2;SMAD4;SMAD3;SMURF1;SMAD9;CTNNB1;AXIN2;SMAD6;TGFBR1;SMAD7"
"Sialyltransferase Activity (GO:0008373)","13/20",0.000733288461518185,0.263348492155023,0,0,4.67670364500792,33.7563131465752,"ST6GAL1;ST6GALNAC1;ST6GAL2;ST8SIA3;ST3GAL4;ST3GAL5;ST8SIA5;ST3GAL6;ST8SIA6;ST6GALNAC3;ST3GAL1;ST6GALNAC5;ST3GAL3"
"Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0004714)","25/50",0.00103279783936183,0.263348492155023,0,0,2.52038115404976,17.3288398208424,"EPHB6;FGFRL1;EGFR;IGF1R;ERBB4;ERBB2;KDR;EPHB4;EPHB3;EPHA5;PDGFRA;NTRK2;MUSK;INSR;NTRK3;CRIM1;MERTK;IGF2R;KIT;ROR1;TEK;EPHA1;MET;EPHA3;DDR2"
"GTPase Regulator Activity (GO:0030695)","150/424",0.0010395982423721,0.263348492155023,0,0,1.38629496848222,9.52235054616928,"ERRFI1;TRIO;DENND5B;FAM13A;ARHGAP35;PREX2;DOCK10;RIMS1;ARHGAP42;RGS2;HERC2;RGS3;ARHGAP40;RGS8;TBC1D22A;SBF2;RGS6;RALGAPA1;RALGAPA2;SWAP70;TSC2;TBC1D2B;GAPVD1;BCR;TIAM1;ACAP2;RALGAPB;SPATA13;ELMO1;RIN3;RIN2;ARHGEF28;MYCBP2;AGAP1;AGAP4;ADRB1;HACD3;IQGAP2;ARHGAP15;IQGAP3;KALRN;ARHGAP20;RIC8B;RAP1A;TBC1D14;SLC38A9;STXBP5;SRGAP3;TBC1D16;TBC1D8B;RAP1GAP2;STARD13;RABGAP1L;ARHGEF37;TNK2;RAB3IP;HPS1;ARHGAP28;ARHGAP26;ARHGAP32;BMP1;GNAQ;CCDC88C;NF1;GNB5;AGAP7P;RGL1;CPEB2;DENND1B;DOCK5;DOCK4;ARHGAP8;DOCK3;DENND1A;RASGRF2;DOCK8;RASGRF1;WDR41;ETFA;WASL;SIPA1L2;ARHGAP6;SIPA1L3;AKAP13;FLCN;SIPA1L1;RASGEF1A;RASGEF1B;MCF2L;DNM1L;MCF2L2;RALGPS1;PLEKHG3;VAV3;ARHGEF10;PLEKHG1;PLEKHG6;ARHGEF16;TBC1D8;TBC1D9;ARFGAP3;TBC1D1;TBC1D2;AGAP6;TBC1D4;AGAP5;TBC1D5;ALDH1A1;RAPGEF1;ARHGEF3;RAPGEF2;RHOU;ITGB1BP1;PLCB1;RAPGEF5;SOS1;ARHGEF7;DOCK2;SOS2;DOCK1;RAPGEF4;RABGAP1;ASAP1;ASAP2;RGPD3;CYTH3;FGD4;RANBP3L;ALS2CL;WNT11;CHN2;CHN1;SH3BP4;BNIP2;SLIT2;CYTH1;FARP2;RANBP2;ARFGEF1;FARP1;GIT2;ARFGEF2;RIC1;GBF1;MYO9A;STXBP5L;RAB3GAP2;RGS12;NUCB2;RAB3GAP1"
"Cadherin Binding (GO:0045296)","116/319",0.00123290492581939,0.263348492155023,0,0,1.4454806312769,9.68238168153482,"CTNND2;CTNND1;PARK7;FNBP1L;CDH9;CDH7;CDH6;GOLGA3;CDH4;BAIAP2L1;MPRIP;CDH2;RUVBL1;KDR;MB21D2;CAST;SWAP70;TMOD3;MRTFB;ANK3;GAPVD1;SND1;ATXN2L;FSCN1;PKP2;PKP1;EZR;PHLDB2;VCL;MACF1;UBFD1;ZC3HAV1;PSEN1;NDRG1;GIGYF2;LARP1;KLC2;CALD1;COBLL1;CDH23;PACSIN2;STXBP6;PROM1;ARGLU1;S100A11;SPTBN2;NIBAN2;JUP;RDX;PARVA;PPFIBP1;DLG1;PTPRB;EHD4;DIAPH3;STK24;FASN;PICALM;ITGB1;PTPRO;OLA1;PTPRM;PTPRJ;CLINT1;CHAF1B;CAPZB;ERC1;NCK1;LYPLA2;ANXA1;ANXA2;CEMIP2;ARHGEF16;EPS15L1;CKAP5;YWHAZ;EPN2;TBC1D2;GPRC5A;CTTN;CDH11;CDH12;CDHR3;NUMB;CDH13;MYH9;ITGA6;CDH17;CDH18;RAB1A;AHNAK;ASAP1;CBL;EGFR;ADD1;CTNNA3;FLNB;FYN;CTNNA2;PDLIM5;PTPN1;STAT1;KTN1;MYO1B;KRT18;FMNL2;APC;VAPA;CAPZA1;CTNNB1;ESYT2;UBAP2;S100P;PFKP;RAN;CDK5R1"
"Metalloexopeptidase Activity (GO:0008235)","27/57",0.00186113482171902,0.331281998265985,0,0,2.26834951456311,14.2601354175394,"CPB2;CPQ;FOLH1B;NPEPPSP1;CXCR4;TRHDE;NPEPPS;CPA5;CPA1;AGTPBP1;ERAP2;LVRN;ERAP1;VASH2;LNPEP;AGBL4;CYP2A6;FOLH1;AGBL1;XPNPEP1;MEP1A;MMP15;AGBL3;XPNPEP3;AGBL2;CPE;METAP1"
"Sodium-Independent Organic Anion Transmembrane Transporter Activity (GO:0015347)","10/15",0.00235944259323218,0.35998352708171,0,0,5.03449489616332,30.4553203917205,"SLCO1C1;SLCO1B1;SLCO3A1;SLCO1A2;SLCO1B3;SLCO2A1;SLCO4C1;SLCO5A1;SLCO1B7;SLCO6A1"
"Transmembrane Receptor Protein Kinase Activity (GO:0019199)","19/37",0.00273627429013034,0.364229185805689,0,0,2.65889104334371,15.6905362366569,"ALK;PDGFRA;MUSK;NTRK3;MERTK;EGFR;ACVR2A;TGFBR2;ERBB4;ERBB2;KIT;KDR;ROR1;TEK;BMPR1B;EPHA1;EPHB4;BMPR1A;DDR2"
"Amino Acid:Monoatomic Cation Symporter Activity (GO:0005416)","7/9",0.00306934707139626,0.364229185805689,0,0,8.807563764292,50.9631218357653,"SLC36A1;SLC6A6;SLC36A3;SLC38A1;SLC36A2;SLC38A2;SLC38A4"
"GTPase Activator Activity (GO:0005096)","78/211",0.00439388062074752,0.469266450295835,0,0,1.48079050494066,8.03705336078764,"ERRFI1;ARHGAP8;FAM13A;SIPA1L2;ARHGAP6;SIPA1L3;ARHGAP35;PREX2;FLCN;ARHGAP42;RGS2;SIPA1L1;RGS3;ARHGAP40;RGS8;DNM1L;TBC1D22A;RGS6;VAV3;RALGAPA1;RALGAPA2;TBC1D8;TSC2;TBC1D9;TBC1D2B;ARFGAP3;BCR;TBC1D1;ACAP2;TBC1D2;RALGAPB;AGAP6;TBC1D4;AGAP5;TBC1D5;ALDH1A1;RAPGEF2;PLCB1;SOS1;DOCK1;RABGAP1;AGAP1;AGAP4;ASAP1;ASAP2;HACD3;IQGAP2;ARHGAP15;IQGAP3;RGPD3;RANBP3L;ARHGAP20;WNT11;CHN2;CHN1;TBC1D14;BNIP2;STXBP5;SRGAP3;TBC1D16;TBC1D8B;RANBP2;RAP1GAP2;ARFGEF1;GIT2;RABGAP1L;STARD13;ARHGAP28;ARHGAP26;MYO9A;STXBP5L;ARHGAP32;GNAQ;NF1;RGS12;GNB5;AGAP7P;RAB3GAP1"
