"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"E2F1 18555785 Chip-Seq ESCs Mouse","86/1528",3.4199349718993e-07,0.000254785155406498,0,0,1.89712580957472,28.2453085070995,"AVEN;MYLK2;CCDC121;GPR26;DGKD;UXS1;MOGAT1;DCAF8;RYR3;LARP1B;UNC80;RGS4;RGS5;BOLL;EXO1;GOLGA1;TNR;TGM6;FOXD3;NCOA2;MKKS;NCOA6;APOBEC4;WDR75;DARS2;TM4SF4;PDYN;MLF1;CACNB2;MELK;CREB1;B3GNT7;LACTB2;ZC3H11A;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;XPR1;CERKL;RNASEL;CDC123;WDR26;INO80D;CFH;PPM1L;NXPH2;RPE;RGS16;PRDM14;UBR3;LIN7C;ASB18;NEUROD1;FAM124B;EXTL2;PGRMC2;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;S1PR1;CDH26;ATP6V1G3;LEKR1;NKX2-2;RUNX1T1;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CCNYL1;RCOR3"
"SOX2 18555785 Chip-Seq ESCs Mouse","80/1508",8.66396043066456e-06,0.00322732526042255,0,0,1.76465665352257,20.5694354933315,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;GOLGA1;TNR;KPNA4;TGM6;NCOA2;MKKS;NCOA6;APOBEC4;WDR75;DARS2;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;SLC9A8;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;PFDN4;XPR1;CERKL;RNASEL;CDC123;WDR26;INO80D;CFH;NXPH2;SYNPO2;RPE;RGS16;PRDM14;LIN7C;ASB18;FAM124B;PGRMC2;HLX;GTSF1L;NPBWR1;DSEL;ZNHIT6;TPR;SMYD2;IARS2;CDH26;ATP6V1G3;NKX2-2;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CCNYL1;SLC28A2;RCOR3;SP9"
"CMYC 18555785 Chip-Seq ESCs Mouse","78/1499",2.23239077923421e-05,0.00364288552256129,0,0,1.72363262594729,18.4598509389732,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;TNR;NCOA2;MKKS;APOBEC4;WDR75;DARS2;TM4SF4;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;ELF5;XCL1;SPOPL;SNRPE;CD302;PLA2R1;STEAP1;XPR1;RNASEL;CDC123;UBIAD1;WDR26;INO80D;CFH;NXPH2;RPE;RGS16;PRDM14;UBR3;LIN7C;ASB18;FAM124B;HLX;GTSF1L;NPBWR1;DSEL;ZNHIT6;TPR;SMYD2;S1PR1;IARS2;CDH26;ATP6V1G3;NKX2-2;RUNX1T1;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CASS4;CCNYL1;SLC28A2;RCOR3"
"EBF1 22473956 ChIP-Seq BONE MARROW Mouse","78/1502",2.39154365464737e-05,0.00364288552256129,0,0,1.71971359137331,18.29944898398,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;GOLGA1;TNR;NCOA2;APOBEC4;WDR75;DARS2;IFT80;TM4SF4;PDYN;MLF1;CACNB2;CREB1;B3GNT7;LACTB2;ELF5;XCL1;SPOPL;SNRPE;CD302;PLA2R1;PFDN4;XPR1;CERKL;RNASEL;CDC123;COL15A1;WDR26;INO80D;CFH;PPM1L;NXPH2;RPE;RGS16;PRDM14;UBR3;LIN7C;ASB18;NEUROD1;FAM124B;PGRMC2;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;S1PR1;CDH26;ATP6V1G3;LEKR1;NKX2-2;RUNX1T1;CCDC73;TGFB2;BDNF;PRDX6;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;ARTN;BHLHE40;CENPL;CCNYL1"
"P53 22387025 ChIP-Seq ESCs Mouse","78/1511",2.93447704594648e-05,0.00364288552256129,0,0,1.70805494211377,17.825938117719,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;LARP1B;UNC80;RGS4;RGS5;BOLL;EXO1;TNR;NCOA2;MKKS;APOBEC4;WDR75;DARS2;IFT80;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;XPR1;CERKL;RNASEL;CDC123;WDR26;INO80D;CFH;NXPH2;SYNPO2;RPE;RGS16;PRDM14;UBR3;LIN7C;ASB18;NEUROD1;FAM124B;PGRMC2;RNF216;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;S1PR1;IARS2;CDH26;ATP6V1G3;LEKR1;NKX2-2;RUNX1T1;TGFB2;BDNF;PRDX6;BLCAP;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;ARTN;CENPL;CCNYL1;RCOR3"
"SUZ12 18555785 Chip-Seq ESCs Mouse","77/1491",3.26926606180569e-05,0.00364288552256129,0,0,1.70763518659558,17.6370708724661,"AVEN;MYLK2;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;RSRC1;TNR;KPNA4;ZBP1;NCOA2;MKKS;NCOA6;APOBEC4;WDR75;DARS2;IFT80;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;XPR1;CERKL;RNASEL;CDC123;WDR26;INO80D;CFH;NXPH2;RPE;RGS16;BTF3L4;PRDM14;LIN7C;ASB18;FAM124B;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;IARS2;CDH26;ATP6V1G3;NKX2-2;RUNX1T1;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;MARCO;EIF3M;PTPRC;CYP24A1;ARTN;CENPL;CCNYL1;RCOR3;SP9"
"STAT3 18555785 Chip-Seq ESCs Mouse","77/1495",3.57720343684368e-05,0.00364288552256129,0,0,1.70243842898991,17.4301505007611,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;RSRC1;TNR;NCOA2;MKKS;NCOA6;APOBEC4;WDR75;DARS2;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;SLC9A8;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;PFDN4;XPR1;CERKL;RNASEL;WDR26;INO80D;CFH;NXPH2;RPE;RGS16;PRDM14;UBR3;LIN7C;ASB18;NEUROD1;FAM124B;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;IARS2;ATP6V1G3;NKX2-2;RUNX1T1;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;MCOLN2;PTPN14;PARP12;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CCNYL1;SLC28A2;RCOR3"
"P300 18555785 Chip-Seq ESCs Mouse","77/1499",3.91182337993159e-05,0.00364288552256129,0,0,1.69727090771395,17.2254698211978,"AVEN;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;TNR;ZBP1;NCOA2;MKKS;NCOA6;APOBEC4;WDR75;DARS2;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;SLC9A8;ELF5;XCL1;SNRPE;CD302;PLA2R1;PFDN4;XPR1;CERKL;RNASEL;CDC123;WDR26;INO80D;CFH;NXPH2;RPE;RGS16;PRDM14;UBR3;LIN7C;LRP8;ASB18;NEUROD1;FAM124B;EXTL2;HLX;GTSF1L;NPBWR1;DSEL;ZNHIT6;TPR;SMYD2;CDH26;ATP6V1G3;NKX2-2;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;LRP1B;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CCNYL1;RCOR3"
"NMYC 18555785 Chip-Seq ESCs Mouse","77/1510",4.98723135415802e-05,0.00379113687258817,0,0,1.68320897525364,16.6739430925114,"AVEN;MYLK2;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;GOLGA1;MAGOH;TNR;TGM6;NCOA2;PLA2G4F;MKKS;NCOA6;APOBEC4;WDR75;DARS2;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;SLC9A8;ELF5;XCL1;SPOPL;SNRPE;PLA2R1;PFDN4;XPR1;RNASEL;WDR26;INO80D;CFH;PPM1L;NXPH2;RPE;RGS16;BTF3L4;PRDM14;LIN7C;ASB18;NEUROD1;FAM124B;HLX;GTSF1L;NPBWR1;DSEL;ZNHIT6;TPR;SMYD2;CDH26;ATP6V1G3;NKX2-2;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CCNYL1;RCOR3"
"KLF4 18555785 Chip-Seq ESCs Mouse","76/1486",5.08877432562171e-05,0.00379113687258817,0,0,1.68766601066924,16.6840779457442,"AVEN;MYLK2;CCDC121;DGKD;UXS1;MOGAT1;DCAF8;RYR3;UNC80;RGS4;RGS5;BOLL;EXO1;TNR;TGM6;ZBP1;NCOA2;PLA2G4F;NCOA6;APOBEC4;WDR75;DARS2;PDYN;CACNB2;CREB1;B3GNT7;LACTB2;ZC3H11A;SLC9A8;ELF5;XCL1;SPOPL;SNRPE;CD302;PLA2R1;PFDN4;XPR1;RNASEL;WDR26;INO80D;CFH;NXPH2;RPE;RGS16;PRDM14;LIN7C;ASB18;FAM124B;HLX;GTSF1L;NPBWR1;DSEL;TPR;SMYD2;IARS2;CDH26;ATP6V1G3;NKX2-2;CCDC73;TGFB2;BDNF;EIF2S2;PRDX6;BLCAP;PTPN14;CRNN;MARCO;EIF3M;BFSP1;PTPRC;CYP24A1;CENPL;CASS4;CCNYL1;SLC28A2;RCOR3"
