"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Anterior/Posterior Pattern Specification (GO:0009952)","9/59",0.000111228009881998,0.233165233135282,0,0,5.42840625,49.419821394218,"TIFAB;HELT;BASP1;BHLHE40;HOXB3;HOXD3;HOXB7;HOXB6;HOXB5"
"Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205)","4/10",0.000197346790635025,0.233165233135282,0,0,19.9948320413437,170.566874846286,"DGKD;PICK1;PLPP1;DGKH"
"tRNA Aminoacylation (GO:0043039)","5/22",0.000589482283431559,0.286267734245753,0,0,8.82992327365729,65.6616572687836,"RARS1;NARS1;LARS1;DARS2;IARS2"
"Gland Morphogenesis (GO:0022612)","3/6",0.000632141123323544,0.286267734245753,0,0,29.9504643962848,220.627037803586,"TGFB2;TGFB3;FGFR2"
"Embryonic Limb Morphogenesis (GO:0030326)","6/34",0.000706312584229945,0.286267734245753,0,0,6.43956898467007,46.7219879486409,"TFAP2A;SHH;TGFB2;MYH3;HDAC1;WNT7A"
"tRNA Aminoacylation For Protein Translation (GO:0006418)","6/35",0.000829338858821833,0.286267734245753,0,0,6.21719311417386,44.1102498390576,"RARS1;NARS1;LARS1;DARS2;IARS2;YARS1"
"Nuclear Pore Organization (GO:0006999)","4/14",0.000848021218671296,0.286267734245753,0,0,11.9944186046512,84.8317838015129,"NUP133;TPR;NUP153;NUP54"
"Natural Killer Cell Differentiation (GO:0001779)","3/7",0.00107957850961857,0.318880502278586,0,0,22.4616873065015,153.439932033924,"PTPRC;NFIL3;PIK3CD"
"Embryonic Digit Morphogenesis (GO:0042733)","4/17",0.00186597062939175,0.418661506816889,0,0,9.22504472271914,57.9699404166358,"SHH;HDAC1;WNT7A;MSX1"
"Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043516)","5/28",0.00187340769551505,0.418661506816889,0,0,6.52443964353227,40.9734562299571,"ANKRD1;SMYD2;MARCHF7;MSX1;PLA2R1"
