"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Epithelial Mesenchymal Transition","12/200",0.0304411496377183,0.717351197720145,0,0,1.92020441564515,6.70527697163372,"RGS4;BASP1;BDNF;ID2;COL12A1;CAPG;FBLN1;CCN2;MSX1;FSTL1;NID2;SGCG"
"Androgen Response","7/100",0.0441271819166912,0.717351197720145,0,0,2.25783003383245,7.04596348655992,"LMAN1;SLC26A2;CCND1;MAK;GNAI3;SGK1;PLPP1"
"Myogenesis","11/200",0.0621200991153498,0.717351197720145,0,0,1.74803867907316,4.8572500546403,"ACTA1;VIPR1;MYH2;COL15A1;SYNGR2;MRAS;MYH3;ACTN2;BHLHE40;PICK1;SGCG"
"Inflammatory Response","11/200",0.0621200991153498,0.717351197720145,0,0,1.74803867907316,4.8572500546403,"MARCO;RGS16;P2RY2;AQP9;GNAI3;PROK2;ITGB8;BDKRB1;AHR;SLC28A2;KCNJ2"
"Hedgehog Signaling","3/36",0.110566831229336,0.717351197720145,0,0,2.71854770616381,5.98660941540791,"SHH;SLIT1;GLI1"
"IL-2/STAT5 Signaling","10/199",0.114368638892434,0.717351197720145,0,0,1.58663917662353,3.4403547446624,"SYNGR2;NFIL3;RGS16;BHLHE40;ETFBKMT;CAPG;AHR;CCR4;PLPP1;DHRS3"
"mTORC1 Signaling","10/200",0.117118562893085,0.717351197720145,0,0,1.57820607857672,3.38457104140026,"RRM2;NFIL3;MTHFD2L;BHLHE40;ARPC5L;PSMG1;GLRX;DHCR7;EIF2S2;PGM1"
"Glycolysis","10/200",0.117118562893085,0.717351197720145,0,0,1.57820607857672,3.38457104140026,"RARS1;ARTN;CASP6;SDC2;RPE;GFPT1;SRD5A3;CDK1;GLRX;ARPP19"
"UV Response Dn","7/144",0.188044027696388,0.830256873132718,0,0,1.52918571071242,2.55539036330125,"RGS4;BDNF;SDC2;BHLHE40;BCKDHB;GCNT1;PIK3CD"
"Interferon Gamma Response","9/200",0.203328213828421,0.830256873132718,0,0,1.41066753926702,2.24709998791066,"ZBP1;SAMD9L;CIITA;EIF4E3;CFH;XCL1;BPGM;PARP12;IFI44L"
"E2F Targets","9/200",0.203328213828421,0.830256873132718,0,0,1.41066753926702,2.24709998791066,"MELK;RRM2;TRA2B;CDK1;RAD1;NUP153;MCM5;NBN;PDS5B"
"Xenobiotic Metabolism","9/200",0.203328213828421,0.830256873132718,0,0,1.41066753926702,2.24709998791066,"DHRS7;TGFB2;CASP6;ENTPD5;ID2;AQP9;FBLN1;MAN1A1;ARPP19"
"TGF-beta Signaling","3/54",0.255415010359188,0.889844862548033,0,0,1.75742123474777,2.3986437267677,"PPM1A;HDAC1;ID2"
"Spermatogenesis","6/135",0.274716487110455,0.889844862548033,0,0,1.39043003363594,1.79645739021454,"SLC12A2;GPR182;CDK1;PSMG1;TCP11;MLF1"
"Hypoxia","8/200",0.324119320839859,0.889844862548033,0,0,1.24538481539262,1.40310477798496,"NFIL3;TGFB3;CASP6;SDC2;BHLHE40;GLRX;CCN2;PGM1"
"G2-M Checkpoint","8/200",0.324119320839859,0.889844862548033,0,0,1.24538481539262,1.40310477798496,"SLC12A2;CCND1;EXO1;PRC1;TRA2B;CDK1;MCM5;PDS5B"
"Myc Targets V1","8/200",0.324119320839859,0.889844862548033,0,0,1.24538481539262,1.40310477798496,"PSMA6;HDDC2;PABPC4;TRA2B;SERBP1;DHX15;MCM5;EIF2S2"
"Angiogenesis","2/36",0.326881786242135,0.889844862548033,0,0,1.75625056823348,1.9637633106098,"MSX1;FSTL1"
"Pancreas Beta Cells","2/40",0.374293234460106,0.946679641502103,0,0,1.57105669893435,1.54390214555642,"NEUROD1;NKX2-2"
"Interferon Alpha Response","4/97",0.386399853674328,0.946679641502103,0,0,1.28418771359507,1.22111169463113,"SAMD9L;SAMD9;IFI44L;PARP12"
"Apoptosis","6/161",0.424130817410244,0.970257735150029,0,0,1.15563136507299,0.991200437608466,"TGFB2;RNASEL;CCND1;CASP6;FEZ1;PEA15"
"Complement","7/200",0.473538252064066,0.970257735150029,0,0,1.08232046874243,0.809058993342498,"CFH;ACTN2;CTSL;FDX1;GNAI3;APOA4;DGKH"
"heme Metabolism","7/200",0.473538252064066,0.970257735150029,0,0,1.08232046874243,0.809058993342498,"KEL;GDE1;VEZF1;BPGM;TMEM9B;ATP6V0A1;ABCG2"
"Reactive Oxygen Species Pathway","2/49",0.475228278440831,0.970257735150029,0,0,1.26962412443684,0.944549568949511,"GLRX;PRDX6"
"Adipogenesis","6/200",0.634173625631505,0.989622078761375,0,0,0.921437847717689,0.419652746795416,"DHRS7;COL15A1;SAMM50;CD302;DHCR7;PGM1"
"Estrogen Response Early","6/200",0.634173625631505,0.989622078761375,0,0,0.921437847717689,0.419652746795416,"SLC26A2;CCND1;P2RY2;BHLHE40;DHCR7;DHRS3"
"Allograft Rejection","6/200",0.634173625631505,0.989622078761375,0,0,0.921437847717689,0.419652746795416,"TGFB2;RARS1;PTPRC;GCNT1;IL16;CAPG"
"KRAS Signaling Up","6/200",0.634173625631505,0.989622078761375,0,0,0.921437847717689,0.419652746795416,"CFH;ID2;RGS16;WNT7A;GLRX;BPGM"
"KRAS Signaling Dn","6/200",0.634173625631505,0.989622078761375,0,0,0.921437847717689,0.419652746795416,"TGFB2;SCGB1A1;HTR1B;SGK1;IFI44L;RIBC2"
"Notch Signaling","1/32",0.652312723295621,0.989622078761375,0,0,0.961768219832736,0.410897385956844,"CCND1"
"Pperoxisome","3/104",0.660484146456663,0.989622078761375,0,0,0.88511173098734,0.367128553535332,"PEX5;SCGB1A1;DHRS3"
"Cholesterol Homeostasis","2/74",0.697419049745527,0.989622078761375,0,0,0.827709084664262,0.298280554200942,"NFIL3;DHCR7"
"Bile Acid Metabolism","3/112",0.708785207499316,0.989622078761375,0,0,0.819808560797569,0.282180360845857,"AQP9;ABCA8;ALDH8A1"
"Fatty Acid Metabolism","4/158",0.758147065193154,0.989622078761375,0,0,0.773059498640894,0.214043086502881,"TP53INP2;BCKDHB;NBN;PRDX6"
"Apical Surface","1/44",0.766147342398031,0.989622078761375,0,0,0.692937123169681,0.184585127715334,"NCOA6"
"TNF-alpha Signaling via NF-kB","5/200",0.781201402267645,0.989622078761375,0,0,0.762701067048893,0.188327890220009,"NFIL3;CCND1;ID2;BHLHE40;SGK1"
