"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Positive Regulation Of Cell Differentiation (GO:0045597)","99/283",2.98997045302e-05,0.150216115559725,0,0,1.69393701003485,17.6468631513132,"RIPOR2;MTCH2;CSF1;LOXL2;DPF1;KDR;DPF3;NRCAM;SOX9;SOX6;ARID2;IL6R;SOX4;TP63;MEF2C;SMARCC1;PRKCH;HGF;SOX11;NPNT;ISL1;TIAM1;PCP4;PRKD1;WDFY2;IL6ST;RIN2;FBN2;DLX1;DLX2;GATA5;PLA2G5;ZFP36L1;SCUBE3;BRINP2;RAP1A;DHX36;ZNF703;BRINP3;WWTR1;SMAD4;SMAD3;IGF1;ALOX15B;SMARCA2;BMP7;BMP6;SLC6A6;DAB2;GDNF;MYF6;TCF4;BMPR1B;FERMT2;BMPR1A;GSK3B;AKR1B1;TMEM100;PPP3CA;GLIPR2;SIN3A;CD36;CD34;ADIG;PBRM1;MMD;AXIN2;ARID1A;NGF;ARID1B;TGFBR2;GPRC5B;PPARG;LCP1;DDR2;LTF;YAP1;FOXC1;SMARCD2;SMARCD3;LAMA2;LAMA1;SRF;LEF1;GDPD5;SULT1E1;NOCT;PDPN;GCNT2;WNT7B;TMEM64;AGT;MTOR;HEYL;KITLG;VWC2;CAMK1;NEUROG1;PF4"
"Positive Regulation Of Osteoblast Differentiation (GO:0045669)","22/44",0.000190976396589908,0.403615921946825,0,0,3.13167701863354,26.8176799553681,"FBN2;YAP1;WWTR1;MEF2C;HGF;WNT7B;SOX11;IGF1;NPNT;BMP7;BMP6;PPP3CA;SCUBE3;PRKD1;BMPR1B;IL6ST;IL6R;TP63;FERMT2;BMPR1A;DDR2;LTF"
"Neuron Projection Fasciculation (GO:0106030)","8/10",0.000331247859577749,0.403615921946825,0,0,12.5070189925681,100.214286215387,"SEMA5A;EPHA4;CRTAC1;NRCAM;CNTN4;ARHGAP35;CDK5R1;EPHB3"
"Positive Regulation Of Autophagy Of Mitochondrion (GO:1903599)","8/10",0.000331247859577749,0.403615921946825,0,0,12.5070189925681,100.214286215387,"PRKN;VPS13D;HTT;PARK7;FBXO7;IRGM;SLC25A4;CAMKK2"
"Ephrin Receptor Signaling Pathway (GO:0048013)","21/43",0.000401687820408863,0.403615921946825,0,0,2.98870928285128,23.3712144625865,"EPHA5;LYN;EPHA4;EPHA6;YES1;ARHGEF28;EFNA5;KALRN;EFNB2;EFNA1;EFNB1;TIAM1;SIPA1L1;CHN1;FYN;ARHGEF7;EPHA1;EPHB4;ANKS1B;EPHB3;CDK5R1"
"Actin Cytoskeleton Reorganization (GO:0031532)","24/53",0.000652705700952766,0.527065661461967,0,0,2.59160643373425,19.0078373267081,"FARP2;PTPN1;ANXA1;AUTS2;DTNBP1;NEDD9;PARVA;CDC42BPB;ATP2C1;CDC42BPA;MKLN1;FER;SIPA1L1;PARVG;PTK7;MYH9;PIP5K1A;PHACTR1;RICTOR;THSD7A;TNIK;EZR;BCAR1;FGF10"
"Neuron Development (GO:0048666)","54/150",0.000826033049305709,0.527065661461967,0,0,1.76464151729887,12.5269709169083,"RB1;ALK;ROBO2;APP;CNTNAP2;GSK3B;ATP8A2;TENM3;TENM4;MYT1L;RASGRF1;STMN2;PTPRM;STMN4;FRY;HS6ST1;GLI2;ATP7A;EPHA5;MEF2C;UNC5A;MYOC;WNT5A;VPS13B;ETV1;POU3F2;RUNX3;GPRIN3;ISL2;MAP1B;NLGN1;ROCK1;SRF;FLRT3;NPY;MAP4;RAB6B;LYN;GRXCR1;NTRK2;LGI4;PBX3;DTNBP1;POU4F1;PHOX2B;MANF;GDNF;VAPA;WNK1;NEDD4;CNTN4;LRP12;FRYL;CDK5R1"
"Regulation Of Osteoblast Differentiation (GO:0045667)","34/85",0.000933720659031835,0.527065661461967,0,0,2.08897191088972,14.5733641892566,"FBN2;YAP1;LIMD1;PPP3CA;SCUBE3;SUFU;NOCT;SOX9;IL6R;TP63;WWTR1;MEF2C;HGF;WNT7B;CRIM1;SOX11;IGF1;TMEM64;NPNT;SMAD6;BMP7;BMP6;GREM1;SKI;CDK6;SMOC1;PPARG;PRKD1;IL6ST;BMPR1B;FERMT2;DDR2;LTF;BMPR1A"
"Endothelial Cell Proliferation (GO:0001935)","11/18",0.000944186097364193,0.527065661461967,0,0,4.91489361702128,34.2331544753695,"SEMA5A;ANGPT4;DLG1;BMPER;NRARP;PRKX;ITGB1BP1;NOX5;TEK;CD34;LOXL2"
"Regulation Of Positive Chemotaxis (GO:0050926)","6/7",0.00112792085361592,0.566667436856637,0,0,18.7540239372678,127.29067374353,"NTRK3;CNTN1;KDR;CDH13;F2RL1;VEGFA"
"Peptide Catabolic Process (GO:0043171)","12/21",0.00126408924313933,0.577344032502909,0,0,4.17052341597796,27.8315850688989,"NPEPPS;ERAP2;MME;XPNPEP1;CPQ;LVRN;ERAP1;NPEPPSP1;CTSH;ECE1;LNPEP;TRHDE"
"Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)","29/71",0.00146535294564449,0.60512710016738,0,0,2.16262353998203,14.1125440852027,"DLX1;UBE2D1;CHRDL1;THBS1;HHEX;BMPER;CREB3L1;CAPN5;VWC2L;SOST;PTPN1;NIBAN2;SMURF1;SPRY4;CRIM1;SHISA2;SMAD6;SORL1;AGT;EPN2;APLN;GREM1;SKI;SPART;NEDD4;MMRN2;VWC2;PPARG;TRIM33"
"Regulation Of Cell-Matrix Adhesion (GO:0001952)","27/65",0.00156581455059234,0.60512710016738,0,0,2.22508862830652,14.3726242526602,"GSK3B;MACF1;CSF1;ROCK1;SEMA3E;PIK3CB;EFNA5;THBS1;CCR7;FYN;CD36;CLASP1;MAP4K4;JAG1;MYOC;LIMCH1;PLEKHA2;EMP2;AJAP1;CDK6;PTPRA;NF1;CDH13;EPHA1;UTRN;SKAP1;VCL"
"Regulation Of Neuron Differentiation (GO:0045664)","31/79",0.00220093626845584,0.644263905713432,0,0,2.02283412846574,12.3774639843491,"ALK;NLGN1;ROCK1;NREP;GDPD5;BRINP2;SIN3A;NTF3;TUNAR;NRCAM;BRINP3;CDK5RAP3;CDK5RAP2;MEF2C;ZFHX3;MMD;SOX11;NGF;BMP7;DISP3;MOSMO;TIAM1;HEYL;GPRC5B;PCP4;BIN1;VWC2;TCF4;CNTN4;NEUROG1;CDK5R1"
"Axonal Fasciculation (GO:0007413)","8/12",0.00225403912944707,0.644263905713432,0,0,6.25268373245252,38.1103043307957,"SEMA5A;EPHA4;CRTAC1;NRCAM;CNTN4;ARHGAP35;CDK5R1;EPHB3"
"Cellular Response To Steroid Hormone Stimulus (GO:0071383)","13/25",0.00251547962232787,0.644263905713432,0,0,3.38857890748777,20.2816335110579,"OR51E2;AKR1B1;ATP1A2;ZDHHC7;ATP1A1;NR3C1;TFPI;BMP7;UBE2L3;GPER1;MAPK1;ADTRP;NKX3-1"
"Negative Regulation Of Sprouting Angiogenesis (GO:1903671)","7/10",0.0029039893377464,0.644263905713432,0,0,7.2937736498108,42.607817649091,"SEMA6A;CREB3L1;PIK3CB;THBS1;EPN1;KLF2;EPN2"
"Sprouting Angiogenesis (GO:0002040)","22/52",0.00313240106344755,0.644263905713432,0,0,2.29534851621808,13.2348772995641,"SEMA5A;CCBE1;SRF;NRARP;SEMA3E;PARVA;THBS1;LOXL2;ROBO1;VEGFA;GREM1;EFNB2;BMPER;OTULIN;KDR;CDH13;ITGB1BP1;ADTRP;TEK;RECK;EPHB4;E2F7"
"Aortic Valve Morphogenesis (GO:0003180)","17/37",0.00321797856764295,0.644263905713432,0,0,2.65952430196484,15.263014997026,"RB1;ROBO2;JAG1;ROCK1;ELN;GATA5;GATA4;NFATC1;AXIN2;SMAD6;ROBO1;TGFBR2;EFNA1;HEYL;HEY2;CDH11;SOX9"
"Regulation Of Intracellular Signal Transduction (GO:1902531)","93/297",0.00324274535435315,0.644263905713432,0,0,1.43154147559423,8.20464372919778,"ARHGAP8;DYRK2;DOCK8;RASGRF2;FAM13A;WWC2;SLA;SUMO4;ARHGAP6;ARHGAP35;PREX2;AKAP12;FLCN;SPRED1;ARHGAP40;MCF2L;KDR;WWC3;TNFSF11;ITGAV;KMT5A;VAV3;PLEKHG3;ARHGEF10;USP7;PLEKHG1;MYOC;VWF;SWAP70;WNT5A;ATP6AP2;PLEKHG6;URB2;TRAF1;RNF41;TTI1;BCR;TIAM1;TRAF4;TRAF3;FSHR;KAT6A;TRAF6;SPATA13;ARHGEF3;TNIK;EZR;DIPK2A;DOCK2;OPTN;NLGN1;ARHGEF28;AKAP7;GATA4;AKAP6;PRDM11;ARHGAP15;STK4;KALRN;EGFR;GNAI1;NUAK1;ARHGAP20;CHN2;CHN1;GNA12;PIP5K1A;GPAT3;RICTOR;SRGAP3;RFFL;GBP1;MAP4K4;MAP2K6;LYN;WWTR1;NTRK2;NTRK3;ARHGAP28;ARHGAP26;MYO9A;MTOR;VEGFA;NFKBIA;ARHGAP32;DLG1;RIT2;TAOK3;CLEC6A;UBE2N;F2RL1;ATM;TEK"
"Aortic Valve Development (GO:0003176)","18/40",0.00326166332577297,0.644263905713432,0,0,2.56016098093053,14.6582477564123,"RB1;ROBO2;JAG1;ROCK1;ELN;GATA5;GATA4;NFATC1;AXIN2;RBPJ;SMAD6;TNFRSF1B;ROBO1;TGFBR2;EFNA1;HEYL;HEY2;SOX9"
"Negative Regulation Of BMP Signaling Pathway (GO:0030514)","19/43",0.00326858236283056,0.644263905713432,0,0,2.47737775018967,14.1790211306018,"DLX1;SMURF1;CRIM1;UBE2D1;SMAD6;CHRDL1;SORL1;GREM1;SKI;SPART;GREM2;BMPER;CAPN5;VWC2L;VWC2;PPARG;SOST;TRIM33;FBN1"
"Positive Regulation Of Cell-Matrix Adhesion (GO:0001954)","19/43",0.00326858236283056,0.644263905713432,0,0,2.47737775018967,14.1790211306018,"GSK3B;CSF1;ROCK1;MYOC;PLEKHA2;EMP2;VEGFA;CDK6;KDR;CDH13;CCR7;CD36;TEK;EPHA1;UTRN;RIN2;FERMT2;SKAP1;MAP4K4"
"Cellular Response To Corticosteroid Stimulus (GO:0071384)","9/15",0.00335281972158035,0.644263905713432,0,0,4.68986165599835,26.7226140089747,"ANXA1;BCL2L11;GPER1;FAM107A;NR3C1;ISL1;SSTR4;UBE2L3;ZFP36L1"
"Response To BMP (GO:0071772)","12/23",0.00354335241702369,0.644263905713432,0,0,3.41179564237415,19.2516778231109,"TMEM100;DLX1;SMAD4;DLX5;SMAD9;SOX9;ADAMTS12;BMPR1B;BMP7;BMP6;PHOX2B;BMPR1A"
"Intestinal Epithelial Cell Differentiation (GO:0060575)","6/8",0.00357949360554587,0.644263905713432,0,0,9.37639290136195,52.8128512473784,"YAP1;NPY;GATA6;GATA5;GATA4;IL6ST"
"Regulation Of Aspartic-Type Endopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process (GO:1902959)","6/8",0.00357949360554587,0.644263905713432,0,0,9.37639290136195,52.8128512473784,"EFNA1;LYN;EPHA4;BIN1;SORL1;PICALM"
"Axon Guidance (GO:0007411)","51/149",0.00384054746630731,0.644263905713432,0,0,1.63135656262088,9.07383416740095,"CYFIP2;SEMA5A;ROBO2;ROBO4;PTPRO;PTPRM;ARHGAP35;GLI2;DPYSL5;KIF5C;NRCAM;EMB;EPHB3;EPHA5;EPHA4;LYPLA2;EPHA6;SEMA6A;UNC5A;SEMA6D;WNT5A;ENAH;PALLD;FEZ2;SOS1;DSCAML1;NOTCH2;SEMA3C;SEMA3D;MYCBP2;LRTM1;SEMA3E;EFNA5;KALRN;EFNB2;EFNB1;CHN1;PLXNA2;PLXNA1;FYN;PLXNA4;NIBAN2;VEGFA;EFNA1;KLF7;NFASC;GDNF;NFIB;CNTN1;CNTN4;CDK5R1"
"Protein Deglutamylation (GO:0035608)","5/6",0.00401715199063464,0.644263905713432,0,0,15.6251289457396,86.2066815338242,"AGBL4;AGTPBP1;FOLH1;FOLH1B;AGBL2"
"White Fat Cell Differentiation (GO:0050872)","5/6",0.00401715199063464,0.644263905713432,0,0,15.6251289457396,86.2066815338242,"PER2;CTBP2;CTBP1;PPARG;SIRT1"
"Xenobiotic Glucuronidation (GO:0052697)","5/6",0.00401715199063464,0.644263905713432,0,0,15.6251289457396,86.2066815338242,"UGT2B28;UGT1A9;UGT1A8;UGT1A7;UGT1A6"
"Cell Junction Assembly (GO:0034329)","35/95",0.00410765733981834,0.644263905713432,0,0,1.82713999031209,10.0399559239169,"NLGN1;CTNND2;CDH9;CDH7;FLCN;CDH4;CDH2;FLRT3;SLITRK1;SPOCK2;DNER;NRCAM;DRD2;KIRREL3;FARP1;FZD5;FN1;GRHL2;MYO9A;POU4F1;DNM3;VMP1;SDK1;CAPZA1;CDH11;CDH12;CDHR3;FSCN1;PKP2;CDH13;PKP1;TLN2;CDH17;CDH18;ADGRL3"
"Intracellular Sodium Ion Homeostasis (GO:0006883)","10/18",0.00427884194807281,0.644263905713432,0,0,3.90850888062784,21.3172922826942,"ATP4B;SCNN1G;SCNN1B;TMPRSS4;SCNN1A;ATP1A4;ATP1A2;ATP1A1;ATP1B1;SLC8A1"
"Nervous System Development (GO:0007399)","129/433",0.00455166153792269,0.644263905713432,0,0,1.33367228679363,7.19151164552745,"SEMA5A;CHRM3;APP;CHRM1;MYT1L;MSI1;MSI2;RPS6KA6;CDH2;NAGLU;DPYSL5;DPF1;ADORA1;KAT8;NRCAM;SOX6;LINC01587;SOX4;CDK5RAP2;KIRREL3;MEF2C;SERF1A;SEMA6A;RBFOX3;SOX11;POU3F2;ALDH3A2;SCN8A;FEZ2;NOTCH2;INTU;DLX5;EFNA5;NPAS1;KALRN;NPAS2;UGT8;BRINP2;SNTG2;ATXN1;FLRT3;BTBD3;PDGFC;ADGRG6;DRD2;ASIC2;BRINP3;WNT2;NHEJ1;JAG1;FZD5;FN1;CRIM1;INHBA;ARHGAP26;DCLK1;PHOX2B;SDK1;RNF103;FGF14;GDNF;NF1;CSPG5;CNTN4;FGF12;ROBO2;SLC2A1;VLDLR;LDB2;NR2E1;ROBO1;IRF2BPL;ZIC3;DNER;JARID2;GUSBP3;MBL2;ADGRV1;PROP1;APAF1;MAMDC2;VPS13B;PAX6;GFRA1;NAV1;NAV2;DNM3;CYP26C1;RAPGEF5;DAGLB;DSCAML1;MET;HDAC4;PRKN;NLGN1;ADAM22;CXCR4;CLN8;VXN;EGFR;GBX2;SLITRK1;SPOCK2;NTF3;ERBB2;IGF2BP1;IGF2BP3;IGF2BP2;PCDH1;FARP1;ARNT2;STAT3;FBXL17;CABLES1;ELP3;MERTK;POU4F1;GRHL2;VEGFA;MARCKS;NFASC;APC;GLRB;FABP7;MAB21L2;APBA1;SCRG1;NEUROG1;ADGRL3"
"Regulation Of Vasculogenesis (GO:2001212)","8/13",0.00461654072565358,0.644263905713432,0,0,5.0018166804294,26.9003183816389,"TMEM100;RAP1A;HEY2;SORD;KDR;EMP2;CD34;RIN2"
"Synaptic Vesicle Localization (GO:0097479)","8/13",0.00461654072565358,0.644263905713432,0,0,5.0018166804294,26.9003183816389,"NLGN1;SYNJ1;KIF5C;SYNDIG1;RAB27A;SPG11;TMEM230;DNM2"
"Mesenchymal Cell Differentiation (GO:0048762)","22/54",0.00541823672006853,0.705043329721262,0,0,2.15160455486542,11.2270399594238,"GSK3B;MEF2C;FOXC1;SMAD4;ROCK1;SEMA3C;HGF;WNT5A;LEF1;FBXL17;HMGA2;IGF1;RBPJ;ISL1;BMP7;LOXL2;TGFBR3;HEYL;DLG5;HEY2;SOX9;AMELX"
"Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373)","20/48",0.00582127659923869,0.705043329721262,0,0,2.23509933774834,11.5023479923242,"DUSP4;LYN;EPHA4;PTPN1;PHB1;PTPRR;SMAD4;SEMA6A;PSCA;DUSP29;FLCN;RPS6KA6;SPRED1;DLG1;DUSP10;GPER1;CNKSR3;ITGB1BP1;EZR;GBP1"
