"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Adherens Junction (GO:0005912)","61/150",6.24682601307811e-06,0.00270487566366282,0,0,2.15431790412266,25.816133013691,"CTNND2;PTPRM;LDB3;PARK7;LIMD1;CDH9;CDH7;CDH4;CHAF1B;CDH2;PGM5;DSP;ANXA1;TMOD3;SHROOM3;FRMD4A;FRS2;FRMD4B;AJAP1;PARD3B;FRMD5;LRRC7;CDH11;PKP2;CDH12;CDHR3;PKP1;CDH13;EZR;PLPP3;CDH17;JCAD;VCL;CDH18;CRB1;LIN7A;ADD1;CYTH3;IGSF21;PDLIM3;CCDC85C;CCDC85A;CTNNA3;STXBP6;CTNNA2;PDLIM5;S100A11;JAG1;NIBAN2;RDX;MSN;WTIP;ALOX15B;VEGFA;MYO1E;DLG1;KRT18;APC;DLG5;FERMT2;NECTIN1"
"Axon (GO:0030424)","69/205",0.0014546310320397,0.314927618436594,0,0,1.59238602403119,10.4030626669692,"APP;CNTNAP2;GSK3B;ROBO4;PTPRS;KCNC2;KCNC4;PTPRO;ELAVL4;PARK7;SLC6A3;SLC8A1;GRM3;PCLO;GRM7;GPER1;LRRTM1;NRCAM;DIP2B;EMB;BSN;ATP7A;SPG11;EPHA5;KIRREL3;EPHA4;SEMA6A;MME;COBL;BIN1;PALLD;MAP1B;SCN8A;FEZ2;ALDH1A1;RIN3;DSCAML1;MTMR2;SLC1A1;ADAM22;HTT;RNF6;FXR1;DHX36;MAP7;MAP6;MAP4;CTNNA2;DRD2;MAP9;SNCA;SYT4;NTRK2;KCNB1;STAT1;INSR;NTRK3;DTNBP1;MYO1D;NFASC;PTK7;NFIB;CNTN1;NF1;CNTN4;VIM;CD200;ADGRL3;CDK5R1"
"Cell-Cell Junction (GO:0005911)","92/299",0.00583656482940673,0.723634518309619,0,0,1.39505135387488,7.17560409719568,"PTPRU;PATJ;B4GALT1;WDR1;CTNND2;ITGB3;PTPRM;LDB3;PARK7;LIMD1;CDH9;FGFRL1;VSIG10;CDH7;FLCN;CHAF1B;CDH4;CDH2;PGM5;CD53;KIRREL3;DSP;ANXA1;OPALIN;TMOD3;KAZN;SHROOM3;FRS2;FRMD4A;FRMD4B;AJAP1;PARD3B;TIAM1;FRMD5;LRRC7;CDH11;FSCN1;PKP2;CDH12;CDHR3;PKP1;CDH13;EZR;PLPP3;DSG4;DSC1;CDH17;JCAD;VCL;CDH18;SDCCAG8;CRB1;COL13A1;AHNAK;ILDR1;LIN7A;ADD1;MTDH;RAP1B;CYTH3;IGSF21;PDLIM3;CCDC85C;PERP;CCDC85A;CTNNA3;STXBP6;CTNNA2;PCDH1;PDLIM5;S100A11;JAG1;NIBAN2;CADM1;RDX;MSN;CDC42BPB;WTIP;CDC42BPA;ALOX15B;GRHL2;VEGFA;MYO1E;DLG1;KRT18;APC;PTK7;DLG5;TEK;FERMT2;ADGRL3;NECTIN1"
"TORC2 Complex (GO:0031932)","5/7",0.0112402578862592,0.723634518309619,0,0,7.81204868991129,35.0624548056252,"PRR5;PRR5L;RICTOR;MTOR;TTI1"
"Extrinsic Component Of Cytoplasmic Side Of Plasma Membrane (GO:0031234)","28/77",0.0116492805845551,0.723634518309619,0,0,1.78855721393035,7.96357040672977,"TRAF3IP2;GNAI1;GNAT3;GNA12;FYN;RGS8;TGM3;CYTH1;LYN;FARP1;GRAMD2A;YES1;SYK;STAC3;GNAO1;HCK;TIAM1;FER;SNX18;GNAL;TRAF6;GNAQ;GNB4;ESYT2;GNB5;FERMT2;FRK;GCOM1"
"Neuron Projection (GO:0043005)","158/557",0.0134517891141373,0.723634518309619,0,0,1.2442386323713,5.3609802754397,"CYFIP2;CHRM3;APP;CHRM1;STMN2;FAM107A;STMN4;PARK7;SLC8A1;CRHBP;SCGN;TMEM266;HTR7;CDH2;ADORA3;ADORA1;CAPN2;NRCAM;DIP2B;BSN;RGS8;FBXO7;RGS6;EPHB3;EPHA5;KIRREL3;EPHA4;GHSR;SEMA6A;EPHA6;FBXW11;MAGI2;ANK2;ANK3;GABRG3;BIN1;MAP1B;SCN8A;FEZ2;RIN3;GRIA1;CHRNA1;MTMR2;ADCYAP1R1;CHRNA2;CHRNA7;SLC1A1;SLC1A3;PSEN1;MCHR1;FXR1;BRINP2;HRH3;KIF3B;HRH2;DHX36;PENK;ABL1;MAP7;MAP6;APOD;SMN1;KCNN3;MAP4;DRD2;BRINP3;MARK3;MAP9;SYT4;CADM1;HOMER1;HOMER2;PLK2;INSR;RAB27A;SLC6A6;DLG1;GRIN3A;PTK7;NF1;CNTN1;STRN;CNTN4;CPEB2;CNIH3;CD200;CNTNAP2;SNAP25;PCSK1;GSK3B;ROBO4;PTPRS;TENM3;TENM4;KCNC2;KCNC4;RASGRF1;PTPRO;ELAVL4;SLC6A3;ROBO1;GRM3;PCLO;GRM7;GPER1;LRRTM1;DNER;PRLHR;EMB;ATP7A;SPG11;CCR2;PACRG;MME;HTR3C;COBL;SSTR4;PALLD;ALDH1A1;CDH13;RGS7BP;ARHGEF7;DSCAML1;PRKN;NLGN1;CAMK2D;NPY4R;ADAM22;ATP1A4;HTT;RNF6;STRN3;P2RY1;GNA12;CHRNA10;FYN;CTNNA2;SNCA;FARP1;NTRK2;KCNB1;STAT1;NTRK3;BNIP3;DTNBP1;OPRK1;SORBS2;MYO1D;KISS1;NFASC;RIT2;MLPH;GLRB;GPR149;RGS12;VIM;ADGRL3;CDK5R1"
"Early Endosome (GO:0005769)","91/307",0.0172665518507093,0.723634518309619,0,0,1.32131827269403,5.36320981759559,"PLEKHF2;APP;WASHC5;CNTNAP2;PHB1;DAGLA;PLEKHF1;WIPF3;DYSF;SNX13;RCSD1;AP4M1;LAPTM4B;AP1G1;GPER1;DNER;KDR;ANKFY1;AP3S2;ATP7A;B2M;WASHC3;BOK;EPHA4;MAP2K1;ANXA1;MME;PLA2G4E;VPS33B;AP1B1;LMTK2;APOA1;AP3B1;TBC1D2B;COMMD1;TICAM1;MR1;RAB32;ZFYVE16;RAB31;MYL1;SLC9A9;RIN3;WDFY2;ATP6V0D1;ATP6V0D2;CFTR;LTF;GRIA1;VAC14;ASAH1;PARM1;MGRN1;TGFBRAP1;CXCR4;HTT;ADRB1;VPS26B;EGFR;ECPAS;RAB21;NEU3;RAP1A;RPS6KC1;SYNDIG1;MAPK1;SNX7;KIAA0319;TBC1D16;NTRK2;PTPN1;RABGAP1L;MON2;RAB4A;FZD5;CAV1;OR51E2;CTNS;LNPEP;SORL1;IGF2R;TMEM230;FIG4;ENTREP1;MYO1B;EHD4;SNX16;NAPEPLD;F2RL1;ATP13A3;PICALM"
"Dendrite (GO:0030425)","81/270",0.017605931121645,0.723634518309619,0,0,1.34374345001048,5.42807778621787,"CHRM3;CNTNAP2;GSK3B;CHRM1;DAGLA;KCNC2;KCNC4;ELAVL4;CLU;SLC8A1;CRHBP;SCGN;TMEM266;HTR7;GRM7;ADORA3;GPER1;DNER;ADORA1;CAPN2;DIP2B;BSN;RGS8;ATP7A;SPG11;EPHB3;CCR2;EPHA5;KIRREL3;EPHA4;EPHA6;MME;MAGI2;COBL;ANK3;GABRG3;BIN1;MAP1B;RIN3;GRIA1;MTMR2;NLGN1;SLC1A1;HTT;GIGYF2;STRN3;FXR1;BRINP2;HRH3;KIF3B;HRH2;DHX36;PENK;P2RY1;ABL1;MAP6;APOD;FYN;DRD2;BRINP3;MARK3;FARP1;NTRK2;HOMER1;HOMER2;KCNB1;STAT1;INSR;PLK2;BNIP3;ZNF804A;RAB27A;SORBS2;MYO1D;SLC6A6;MLPH;NF1;STRN;RGS12;CNIH3;CDK5R1"
"Brahma Complex (GO:0035060)","7/13",0.020615237438937,0.723634518309619,0,0,3.64616443068455,14.1534068776522,"SMARCC1;SMARCD2;SMARCD3;DPF3;ARID1A;ARID1B;SMARCA2"
"Postsynaptic Density (GO:0014069)","48/151",0.0213937410323004,0.723634518309619,0,0,1.45946339215702,5.61113596426251,"GRIA1;MTMR2;NLGN1;DAGLA;PTPRS;CTNND2;GRIK4;CACNA1C;ADD3;KALRN;SLC8A1;GRM1;INSYN2A;ADD1;INSYN2B;FXR1;SIPA1L1;ADGRA1;CDH2;NETO1;GPER1;P2RY1;SYNDIG1;USP50;FYN;SRGAP3;PDLIM5;CACNG3;GRIA3;CACNG4;NTRK2;S100G;HOMER1;KCND2;HOMER2;KCND3;MAGI2;DTNBP1;TSC2;INSYN1;DNM3;ARHGAP32;DLG1;GRIN3A;LRRC7;DLG5;STRN;CDK5R1"
