"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Rap1 signaling pathway","20/210",0.000569214878360781,0.158810951062658,0,0,2.43517329910141,18.1937947279489,"MAGI1;PDGFRA;ANGPT2;CTNND1;LPAR3;PIK3R1;SIPA1L2;GRIN2B;IGF1R;AFDN;PLCB4;ADORA2A;PARD3;KIT;RAPGEF1;RAPGEF2;CTNNB1;EVL;PLCB1;RAPGEF4"
"Hippo signaling pathway","16/163",0.00142373430445241,0.196717993080942,0,0,2.51145895251304,16.461287552551,"SMAD2;CRB2;WNT5B;WWC1;FZD8;PPP2R2A;YWHAZ;TGFBR1;STK3;SMAD7;PPP1CB;DLG2;PARD3;SNAI2;CTNNB1;BIRC3"
"Adherens junction","9/71",0.00281446521460576,0.196717993080942,0,0,3.33608943752184,19.592796594706,"AFDN;CREBBP;PARD3;CTNND1;CTNNB1;SNAI2;PTPRJ;TGFBR1;IGF1R"
"Pathways in cancer","36/531",0.00338423215315083,0.196717993080942,0,0,1.6883763003166,9.6045450956737,"PTGER4;MAX;LAMA3;FASLG;LPAR3;PIK3R1;ETS1;FOXO1;IGF1R;MECOM;PMAIP1;IL12A;POLK;NCOA1;SMAD2;PDGFRA;CREBBP;EGLN3;JUP;WNT5B;DAPK1;IFNGR1;ZBTB16;TXNRD1;PTCH1;FZD8;ESR1;TGFBR1;RUNX1;PLCB4;KIT;RARB;CTNNB1;ITGA6;PLCB1;BIRC3"
"Axon guidance","16/182",0.00433079194183264,0.196717993080942,0,0,2.22178032518423,12.0909393212709,"EPHB6;NTNG2;NRP1;EPHA7;WNT5B;PTCH1;PIK3R1;RGS3;DPYSL2;PARD3;SLIT3;PLXNC1;SLIT2;LRRC4C;NEO1;EPHA3"
"Biosynthesis of unsaturated fatty acids","5/27",0.00482668014916188,0.196717993080942,0,0,5.20903647250953,27.7828981114134,"FADS2;ELOVL5;ELOVL2;HSD17B4;FADS1"
"Thyroid hormone signaling pathway","12/121",0.00493557688733546,0.196717993080942,0,0,2.53304081904002,13.4537035197027,"NCOA1;CREBBP;THRB;PLCB4;DIO2;CTNNB1;PIK3R1;PLCB1;ESR1;FOXO1;PFKP;MED13L"
"cAMP signaling pathway","17/216",0.00988294735862017,0.322061371485768,0,0,1.96814571032563,9.08681950473163,"GABBR2;ABCC4;CREBBP;EDN3;PTCH1;PDE4D;HTR1A;RRAS2;PIK3R1;GRIN2B;PPP1CB;AFDN;PDE10A;ADORA2A;SST;PDE3A;RAPGEF4"
"Wnt signaling pathway","14/166",0.0103890764995409,0.322061371485768,0,0,2.11953612845674,9.67992226467802,"TLE3;CREBBP;TLE1;WNT5B;FZD8;SFRP1;PLCB4;DAAM1;TBL1XR1;CCN4;CTNNB1;ROR1;PLCB1;LGR4"
"Transcriptional misregulation in cancer","15/192",0.0157144021800251,0.419467598083954,0,0,1.94997431946584,8.09858976327139,"SS18;JUP;MAX;IGFBP3;ZBTB16;MLLT3;FOXO1;PBX1;IGF1R;RUNX1;FUT8;MAF;BCL6;POLK;BIRC3"
"Mucin type O-glycan biosynthesis","5/36",0.0165381490283996,0.419467598083954,0,0,3.69499710256906,15.1571940534398,"GALNT12;GALNT7;GALNTL6;ST6GALNAC3;ST3GAL1"
"FoxO signaling pathway","11/131",0.0222227665377851,0.453786288839209,0,0,2.10534780860474,8.0142969627564,"CREBBP;BCL6;IRS1;FOXG1;FASLG;PIK3R1;RAG2;FOXO3;FOXO1;TGFBR1;IGF1R"
"Phospholipase D signaling pathway","12/148",0.0222845560066972,0.453786288839209,0,0,2.02728047740835,7.7114939472776,"PDGFRA;PLCB4;DGKB;KIT;PLA2G4A;RRAS2;PTK2B;LPAR3;PIK3R1;PLCB1;DGKI;RAPGEF4"
"Focal adhesion","15/201",0.0227706381496378,0.453786288839209,0,0,1.85474095796676,7.01515588728878,"PDGFRA;LAMA3;PIK3R1;PARVB;IGF1R;PPP1CB;RELN;RAPGEF1;ITGA8;MYL10;CTNNB1;ITGA6;ITGA5;PPP1R12B;BIRC3"
"Proteoglycans in cancer","15/205",0.0265783944824669,0.482813867750288,0,0,1.81531100478469,6.58532500336126,"SMAD2;WNT5B;PTCH1;FZD8;RRAS2;FASLG;PIK3R1;ESR1;IGF1R;PPP1CB;CTTN;ERBB4;CTNNB1;ITGA5;PPP1R12B"
"Chagas disease","9/102",0.0276882504803032,0.482813867750288,0,0,2.22044951671131,7.96419092284923,"SMAD2;PLCB4;IFNGR1;PPP2R2A;IL12A;FASLG;PIK3R1;PLCB1;TGFBR1"
"AMPK signaling pathway","10/120",0.0297546231434654,0.488325873942755,0,0,2.08652792990142,7.33366735644574,"IRS1;PPP2R2A;PIK3R1;PPP2R3A;FOXO3;PPARGC1A;ACACA;FOXO1;PFKP;IGF1R"
"Small cell lung cancer","8/92",0.0395076371866984,0.612368376393826,0,0,2.18360805860806,7.05580816887209,"MAX;LAMA3;RARB;ITGA6;POLK;PIK3R1;FHIT;BIRC3"
"Arrhythmogenic right ventricular cardiomyopathy","7/77",0.0427063749431143,0.627109400480468,0,0,2.29171668667467,7.22671561090412,"GJA1;JUP;CACNA2D1;ITGA8;CTNNB1;ITGA6;ITGA5"
"Inflammatory bowel disease","6/65",0.0548659285053258,0.765379702649295,0,0,2.32910620656018,6.76107560875397,"SMAD2;MAF;IFNGR1;RORA;IL12A;GATA3"
"Growth hormone synthesis, secretion and action","9/119",0.0632029742648716,0.788853552056313,0,0,1.87561535936987,5.17933160161913,"SOCS2;GHR;CREBBP;PLCB4;IRS1;SST;IGFBP3;PIK3R1;PLCB1"
"Cellular senescence","11/156",0.0647953935881627,0.788853552056313,0,0,1.74006904870846,4.76173508389488,"PPP1CB;SMAD2;IGFBP3;RRAS2;PIK3R1;FOXO3;ETS1;FOXO1;TGFBR1;ATR;HIPK2"
"Human papillomavirus infection","20/331",0.0666463848806431,0.788853552056313,0,0,1.47823700101953,4.00358979560807,"PTGER4;MAGI1;CREBBP;WNT5B;LAMA3;FZD8;PPP2R2A;FASLG;PIK3R1;PPP2R3A;FOXO1;RELN;DLG2;PARD3;ITGA8;CTNNB1;ITGA6;ITGA5;TLR3;ATR"
"African trypanosomiasis","4/37",0.0682862049371387,0.788853552056313,0,0,2.77323473974192,7.44349379868149,"PLCB4;FASLG;IL12A;PLCB1"
"Glycosaminoglycan biosynthesis","5/53",0.0708528590988166,0.788853552056313,0,0,2.38423153692615,6.31141841619041,"CSGALNACT1;FUT8;HS3ST3A1;ST3GAL1;HS3ST1"
"Fanconi anemia pathway","5/54",0.075519522552249,0.788853552056313,0,0,2.33545154588782,6.03332163259553,"POLN;RMI1;ERCC4;POLK;ATR"
"Parathyroid hormone synthesis, secretion and action","8/106",0.0777590050626259,0.788853552056313,0,0,1.87029042386185,4.7769852924391,"GCM2;GCM1;AKAP13;MAFB;PLCB4;PDE4D;GATA3;PLCB1"
"Signaling pathways regulating pluripotency of stem cells","10/143",0.0791680984142537,0.788853552056313,0,0,1.72361626958964,4.3714043149939,"SMAD2;WNT5B;FZD8;CTNNB1;LIFR;PIK3R1;KLF4;ACVR2A;TBX3;IGF1R"
"alpha-Linolenic acid metabolism","3/25",0.0855999842935754,0.80287216102061,0,0,3.11795373085696,7.66414908632129,"FADS2;PLA2G4A;PLB1"
"Purine metabolism","9/129",0.0935917232885277,0.80287216102061,0,0,1.71841155234657,4.07059618442965,"PDE10A;RRM2B;PDE4D;GMPS;PDE3A;ADK;AK5;NT5C2;FHIT"
"Tight junction","11/169",0.100094048612246,0.80287216102061,0,0,1.59580705745828,3.67298141272122,"MAGI1;AFDN;EPB41L4B;DLG2;CTTN;CLDN14;PARD3;RAPGEF2;PPP2R2A;CGNL1;RUNX1"
"TGF-beta signaling pathway","7/94",0.100337170636274,0.80287216102061,0,0,1.84226794165942,4.23577756156873,"SMAD2;CREBBP;NEO1;TGFBR1;THSD4;ACVR2A;SMAD7"
"Long-term depression","5/60",0.106863397899524,0.80287216102061,0,0,2.08002177463255,4.65135283630782,"PLCB4;PLA2G4A;NOS1;PLCB1;IGF1R"
"Leukocyte transendothelial migration","8/114",0.107027418191804,0.80287216102061,0,0,1.72841074020319,3.86242803077271,"AFDN;CLDN14;CTNND1;MYL10;PTK2B;CTNNB1;PIK3R1;RAPGEF4"
"PI3K-Akt signaling pathway","20/354",0.110792659178132,0.80287216102061,0,0,1.37476266978239,3.02460814571388,"MAGI1;PDGFRA;ANGPT2;IRS1;LAMA3;PPP2R2A;LPAR3;FASLG;PIK3R1;PPP2R3A;FOXO3;YWHAZ;IGF1R;GHR;RELN;ERBB4;KIT;ITGA8;ITGA6;ITGA5"
"Endocytosis","15/252",0.111318428045795,0.80287216102061,0,0,1.45170694284618,3.18702002686134,"SMAD2;PDGFRA;ARFGEF2;PDCD6IP;AGAP1;WWP1;ASAP1;ASAP2;TGFBR1;IGF1R;EEA1;EHD3;PARD3;PSD3;SH3GL2"
"Phosphatidylinositol signaling system","7/97",0.113514564864806,0.80287216102061,0,0,1.78057889822596,3.87422652410476,"CDS1;PLCB4;DGKB;IPMK;PIK3R1;PLCB1;DGKI"
"Glycosphingolipid biosynthesis","4/45",0.11926016634736,0.80287216102061,0,0,2.23118216828101,4.74449263728205,"B3GALNT1;ST3GAL5;ST6GALNAC3;ST3GAL1"
"Basal cell carcinoma","5/63",0.124580249013737,0.80287216102061,0,0,1.97212471608507,4.10755161436562,"WNT5B;PTCH1;FZD8;CTNNB1;POLK"
"Lysine degradation","5/63",0.124580249013737,0.80287216102061,0,0,1.97212471608507,4.10755161436562,"PRDM9;MECOM;BBOX1;SMYD3;DLD"
"AGE-RAGE signaling pathway in diabetic complications","7/100",0.127552950446478,0.80287216102061,0,0,1.72286979307852,3.54777431504935,"SMAD2;PLCB4;PIK3R1;PLCB1;F3;FOXO1;TGFBR1"
"Glyoxylate and dicarboxylate metabolism","3/30",0.129985744511306,0.80287216102061,0,0,2.53989114562591,5.18221735114895,"PCCB;GLUL;DLD"
"Melanogenesis","7/101",0.132418334210237,0.80287216102061,0,0,1.70445199356338,3.4460425799362,"CREBBP;PLCB4;WNT5B;KIT;FZD8;CTNNB1;PLCB1"
"Other types of O-glycan biosynthesis","4/47",0.134003611466059,0.80287216102061,0,0,2.12718370980305,4.27540213561168,"GALNT12;GALNT7;GALNTL6;XXYLT1"
"Longevity regulating pathway","7/102",0.137374470382621,0.80287216102061,0,0,1.68642193719593,3.34762296470879,"IRS1;PIK3R1;FOXO3;PPARGC1A;FOXO1;IGF1R;FOXA2"
"Spinocerebellar ataxia","9/143",0.148157341907443,0.80287216102061,0,0,1.53774449054367,2.9362930401502,"ERN1;PLCB4;RELN;PSMA2;RORA;PIK3R1;ATXN10;PLCB1;GRIN2B"
"Acute myeloid leukemia","5/67",0.15013891654022,0.80287216102061,0,0,1.84450453930848,3.49753899965088,"JUP;ZBTB16;KIT;PIK3R1;RUNX1"
"Long-term potentiation","5/67",0.15013891654022,0.80287216102061,0,0,1.84450453930848,3.49753899965088,"PPP1CB;CREBBP;PLCB4;PLCB1;GRIN2B"
"Colorectal cancer","6/86",0.152935246128019,0.80287216102061,0,0,1.7158273381295,3.22187878424979,"SMAD2;PMAIP1;CTNNB1;POLK;PIK3R1;TGFBR1"
"Cysteine and methionine metabolism","4/50",0.15741199043923,0.80287216102061,0,0,1.98814229249012,3.67585395329415,"MAT2A;AMD1;APIP;MAT2B"
"Primary bile acid biosynthesis","2/17",0.158391513992119,0.80287216102061,0,0,3.0461416070008,5.61308058732491,"HSD17B4;CYP7B1"
"Glucagon signaling pathway","7/107",0.163463411926064,0.80287216102061,0,0,1.60168067226891,2.90090972695825,"CREBBP;PLCB4;PLCB1;PPARGC1A;ACACA;FOXO1;PFKP"
"Renal cell carcinoma","5/69",0.163682022228071,0.80287216102061,0,0,1.78667664670659,3.23358032030478,"CREBBP;EGLN3;RAPGEF1;PIK3R1;ETS1"
"Renin secretion","5/69",0.163682022228071,0.80287216102061,0,0,1.78667664670659,3.23358032030478,"PTGER4;PLCB4;EDN3;PDE3A;PLCB1"
"ECM-receptor interaction","6/88",0.164865552766401,0.80287216102061,0,0,1.67380242147745,3.01723803805452,"RELN;SV2B;LAMA3;ITGA8;ITGA6;ITGA5"
"Breast cancer","9/147",0.1661645155014,0.80287216102061,0,0,1.49285826400879,2.67934756328638,"NCOA1;WNT5B;KIT;FZD8;CTNNB1;PIK3R1;POLK;ESR1;IGF1R"
"Propanoate metabolism","3/34",0.170097089020119,0.80287216102061,0,0,2.21170077465603,3.91777555192022,"PCCB;DLD;ACACA"
"Cell adhesion molecules","9/148",0.170821420227562,0.80287216102061,0,0,1.48204036049139,2.61896775528738,"NTNG2;ALCAM;CLDN14;NRXN1;ITGA8;NRXN3;ITGA6;LRRC4C;NEO1"
"Fatty acid biosynthesis","2/18",0.173488151867991,0.80287216102061,0,0,2.85560859188544,5.00201528436449,"ACSL3;ACACA"
"HIF-1 signaling pathway","7/109",0.174478329771906,0.80287216102061,0,0,1.57011039710002,2.74134167402983,"CREBBP;EGLN3;ANGPT2;IFNGR1;PIK3R1;PFKP;IGF1R"
